location,site,rep,plot,depth.in,sample.date,sample.id,study
Grand Meadow,1,1,101,"0-12""",18-Jun,RTNC22-1.101,RTNC22
Grand Meadow,1,2,211,"0-12""",18-Jun,RTNC22-1.211,RTNC22
Grand Meadow,1,3,304,"0-12""",18-Jun,RTNC22-1.304,RTNC22
Grand Meadow,1,4,412,"0-12""",18-Jun,RTNC22-1.412,RTNC22
Harmony,2,1,101,"0-12""",18-Jun,RTNC22-2.101,RTNC22
Harmony,2,2,211,"0-12""",18-Jun,RTNC22-2.211,RTNC22
Harmony,2,3,304,"0-12""",18-Jun,RTNC22-2.304,RTNC22
Harmony,2,4,412,"0-12""",18-Jun,RTNC22-2.412,RTNC22
Dover,3,1,101,"0-12""",18-Jun,RTNC22-3.101,RTNC22
Dover,3,2,211,"0-12""",18-Jun,RTNC22-3.211,RTNC22
Dover,3,3,304,"0-12""",18-Jun,RTNC22-3.304,RTNC22
Dover,3,4,412,"0-12""",18-Jun,RTNC22-3.412,RTNC22
Elgin,4,1,101,"0-12""",18-Jun,RTNC22-4.101,RTNC22
Elgin,4,2,211,"0-12""",18-Jun,RTNC22-4.211,RTNC22
Elgin,4,3,304,"0-12""",18-Jun,RTNC22-4.304,RTNC22
Elgin,4,4,412,"0-12""",18-Jun,RTNC22-4.412,RTNC22
