"2025-12-02 at 8:59"
System_Date_(Y-M-D)	System_Time_(h:m:s)	CO₂_(µmol_mol⁻¹)	Cell_Temperature_(°C)	Cell_Pressure_(kPa)	CO₂_Absorption	Input_Voltage_(V)	Flow_Rate_(L_min⁻¹)	
2025-12-02	8:59:25	5.86322e2	5.14902e1	9.19587e1	8.3952789e-2	1.2038667e1	7.5256943e-1	
2025-12-02	8:59:26	5.82012e2	5.14902e1	9.20487e1	8.3533229e-2	1.2064683e1	7.4305229e-1	
2025-12-02	8:59:26	5.88806e2	5.14902e1	9.21084e1	8.4193935e-2	1.2088181e1	7.4290866e-1	
2025-12-02	8:59:27	5.93915e2	5.14935e1	9.21409e1	8.4687442e-2	1.2076432e1	7.5127153e-1	
2025-12-02	8:59:27	5.95719e2	5.14935e1	9.20487e1	8.4861402e-2	1.2077271e1	7.5784568e-1	
2025-12-02	8:59:28	5.90030e2	5.14935e1	9.19705e1	8.4311904e-2	1.2078950e1	7.6408104e-1	
2025-12-02	8:59:28	5.85412e2	5.14968e1	9.19157e1	8.3863162e-2	1.2042024e1	7.7128310e-1	
2025-12-02	8:59:29	5.84144e2	5.15001e1	9.18657e1	8.3739271e-2	1.2083985e1	7.6818380e-1	
2025-12-02	8:59:29	5.79852e2	5.14968e1	9.19347e1	8.3321170e-2	1.2068040e1	7.5543088e-1	
2025-12-02	8:59:30	5.86536e2	5.14935e1	9.20120e1	8.3973016e-2	1.2083146e1	7.5655074e-1	
2025-12-02	8:59:30	5.92299e2	5.14935e1	9.19980e1	8.4531383e-2	1.2073075e1	7.5506329e-1	
2025-12-02	8:59:31	5.89117e2	5.14902e1	9.20227e1	8.4224014e-2	1.2072236e1	7.5569257e-1	
2025-12-02	8:59:31	5.89290e2	5.14935e1	9.20100e1	8.4240255e-2	1.2045381e1	7.5667858e-1	
2025-12-02	8:59:32	5.87265e2	5.14968e1	9.19994e1	8.4043207e-2	1.2064683e1	7.4894170e-1	
2025-12-02	8:59:32	5.84081e2	5.14968e1	9.20742e1	8.3733654e-2	1.2083985e1	7.4230384e-1	
2025-12-02	8:59:33	5.89484e2	5.14968e1	9.21204e1	8.4258432e-2	1.2079789e1	7.5436930e-1	
2025-12-02	8:59:33	5.94472e2	5.14968e1	9.20127e1	8.4740667e-2	1.2055451e1	7.6482934e-1	
2025-12-02	8:59:34	5.90453e2	5.14935e1	9.19159e1	8.4352817e-2	1.2052934e1	7.7278432e-1	
2025-12-02	8:59:34	5.87636e2	5.14935e1	9.18477e1	8.4079790e-2	1.2058808e1	7.7290720e-1	
2025-12-02	8:59:35	5.85648e2	5.14968e1	9.18697e1	8.3886165e-2	1.2083146e1	7.6220788e-1	
2025-12-02	8:59:35	5.84623e2	5.14968e1	9.19807e1	8.3786478e-2	1.2066361e1	7.5003280e-1	
2025-12-02	8:59:36	5.91843e2	5.14935e1	9.20619e1	8.4487323e-2	1.2057130e1	7.5286865e-1	
2025-12-02	8:59:36	6.00572e2	5.14935e1	9.20205e1	8.5327997e-2	1.2058808e1	7.6095323e-1	
2025-12-02	8:59:37	5.95208e2	5.14935e1	9.19605e1	8.4812173e-2	1.2064683e1	7.6115379e-1	
2025-12-02	8:59:37	5.84346e2	5.14968e1	9.19694e1	8.3759517e-2	1.2045381e1	7.5229682e-1	
2025-12-02	8:59:38	5.83237e2	5.14935e1	9.20447e1	8.3652057e-2	1.2059648e1	7.4566974e-1	
2025-12-02	8:59:38	5.89384e2	5.14935e1	9.21090e1	8.4249353e-2	1.2084825e1	7.4536108e-1	
2025-12-02	8:59:39	6.09017e2	5.14935e1	9.20765e1	8.6135282e-2	1.2082307e1	7.5856661e-1	
2025-12-02	8:59:39	6.21910e2	5.14935e1	9.19690e1	8.7356290e-2	1.2073075e1	7.6690282e-1	
2025-12-02	8:59:40	6.06413e2	5.14902e1	9.18722e1	8.5887613e-2	1.2062165e1	7.7153625e-1	
2025-12-02	8:59:40	5.93976e2	5.14902e1	9.18284e1	8.4693965e-2	1.2078950e1	7.6869368e-1	
2025-12-02	8:59:41	5.89837e2	5.14935e1	9.18205e1	8.4293231e-2	1.2075593e1	7.5701580e-1	
2025-12-02	8:59:41	5.84779e2	5.14935e1	9.18095e1	8.3802165e-2	1.2057969e1	7.4802036e-1	
2025-12-02	8:59:42	5.85934e2	5.14968e1	9.18287e1	8.3913908e-2	1.2064683e1	7.5488224e-1	
2025-12-02	8:59:42	5.93198e2	5.14902e1	9.17502e1	8.4618835e-2	1.2047059e1	7.6054687e-1	
2025-12-02	8:59:43	5.97309e2	5.14935e1	9.16995e1	8.5014543e-2	1.2040345e1	7.5419874e-1	
2025-12-02	8:59:43	5.99200e2	5.14935e1	9.16987e1	8.5196380e-2	1.2047059e1	7.5431017e-1	
2025-12-02	8:59:44	5.98420e2	5.14902e1	9.16485e1	8.5121965e-2	1.2081468e1	7.5568428e-1	
2025-12-02	8:59:44	5.99220e2	5.14902e1	9.16650e1	8.5198793e-2	1.2052094e1	7.4851264e-1	
2025-12-02	8:59:45	6.15112e2	5.14935e1	9.16860e1	8.6714210e-2	1.2057130e1	7.5665903e-1	
2025-12-02	8:59:45	6.22633e2	5.14935e1	9.15979e1	8.7424392e-2	1.2060487e1	7.5467672e-1	
2025-12-02	8:59:46	6.09942e2	5.14968e1	9.16287e1	8.6222763e-2	1.2074754e1	7.4695911e-1	
2025-12-02	8:59:46	6.04827e2	5.14968e1	9.16839e1	8.5734958e-2	1.2067201e1	7.4791297e-1	
2025-12-02	8:59:47	6.05984e2	5.14968e1	9.16335e1	8.5845489e-2	1.2055451e1	7.3200626e-1	
2025-12-02	8:59:47	6.01401e2	5.14968e1	9.16057e1	8.5406932e-2	1.2075593e1	7.2137098e-1	
2025-12-02	8:59:48	6.05466e2	5.14935e1	9.15495e1	8.5796585e-2	1.2076432e1	7.2890539e-1	
2025-12-02	8:59:48	6.24326e2	5.14968e1	9.10579e1	8.7582969e-2	1.2082307e1	7.2149934e-1	
2025-12-02	8:59:49	5.99532e2	5.14935e1	9.04739e1	8.5228252e-2	1.2086503e1	7.2735109e-1	
2025-12-02	8:59:49	5.57253e2	5.14902e1	9.04587e1	8.1090879e-2	1.2066361e1	7.4098067e-1	
2025-12-02	8:59:50	5.54230e2	5.14968e1	9.08960e1	8.0787754e-2	1.2052094e1	7.6173443e-1	
2025-12-02	8:59:50	5.88181e2	5.14968e1	9.14172e1	8.4132108e-2	1.2076432e1	7.5715703e-1	
2025-12-02	8:59:51	4.30941e2	5.14935e1	9.16279e1	6.7673158e-2	1.2099092e1	7.4922204e-1	
2025-12-02	8:59:51	9.05431e2	5.14935e1	9.16847e1	1.1132422e-1	1.2085664e1	7.4121208e-1	
2025-12-02	8:59:52	4.51564e3	5.14935e1	9.16855e1	2.5830209e-1	1.2054612e1	7.3359627e-1	
2025-12-02	8:59:52	1.01988e4	5.14968e1	9.16695e1	3.4409770e-1	1.2059648e1	7.3278050e-1	
2025-12-02	8:59:53	9.26391e3	5.14968e1	9.15792e1	3.3456242e-1	1.2042863e1	7.3908395e-1	
2025-12-02	8:59:53	7.53141e3	5.14935e1	9.14757e1	3.1326756e-1	1.2036149e1	7.3724551e-1	
2025-12-02	8:59:54	6.64312e3	5.14935e1	9.14029e1	2.9997296e-1	1.2083146e1	7.5172100e-1	
2025-12-02	8:59:54	6.14325e3	5.14968e1	9.12867e1	2.9158511e-1	1.2089860e1	7.5427064e-1	
2025-12-02	8:59:55	5.80239e3	5.14935e1	9.12677e1	2.8543314e-1	1.2094895e1	7.4811782e-1	
2025-12-02	8:59:55	5.58677e3	5.14968e1	9.13205e1	2.8133943e-1	1.2083146e1	7.4080772e-1	
2025-12-02	8:59:56	5.51048e3	5.15001e1	9.13939e1	2.7985076e-1	1.2085664e1	7.3737740e-1	
2025-12-02	8:59:56	5.51404e3	5.14968e1	9.13984e1	2.7992186e-1	1.2080628e1	7.3870506e-1	
2025-12-02	8:59:57	5.49703e3	5.14968e1	9.13917e1	2.7958755e-1	1.2058808e1	7.3255090e-1	
2025-12-02	8:59:57	5.49940e3	5.14935e1	9.14252e1	2.7963523e-1	1.2056291e1	7.3558144e-1	
2025-12-02	8:59:58	5.51433e3	5.14935e1	9.13742e1	2.7992866e-1	1.2063004e1	7.4866847e-1	
2025-12-02	8:59:58	5.49306e3	5.14902e1	9.12615e1	2.7951142e-1	1.2070558e1	7.5224285e-1	
2025-12-02	8:59:59	5.45461e3	5.14935e1	9.12392e1	2.7875008e-1	1.2073915e1	7.4528875e-1	
2025-12-02	8:59:59	5.46073e3	5.14935e1	9.13047e1	2.7887148e-1	1.2061326e1	7.3482637e-1	
2025-12-02	9:0:00	5.51111e3	5.14935e1	9.13965e1	2.7986547e-1	1.2054612e1	7.3391132e-1	
2025-12-02	9:0:00	5.54890e3	5.14935e1	9.13702e1	2.8060485e-1	1.2034471e1	7.4209365e-1	
2025-12-02	9:0:01	5.53718e3	5.14968e1	9.12959e1	2.8037486e-1	1.2065522e1	7.4824590e-1	
2025-12-02	9:0:01	5.49343e3	5.14935e1	9.12484e1	2.7951762e-1	1.2068879e1	7.4381666e-1	
2025-12-02	9:0:02	5.48105e3	5.14935e1	9.12895e1	2.7927346e-1	1.2057969e1	7.3409280e-1	
2025-12-02	9:0:02	5.50455e3	5.14902e1	9.13744e1	2.7973771e-1	1.2062165e1	7.3187313e-1	
2025-12-02	9:0:03	5.53732e3	5.14968e1	9.13652e1	2.8037765e-1	1.2058808e1	7.4927735e-1	
2025-12-02	9:0:03	5.53385e3	5.14935e1	9.12092e1	2.8031091e-1	1.2068879e1	7.5529260e-1	
2025-12-02	9:0:04	5.47517e3	5.14935e1	9.11587e1	2.7915728e-1	1.2085664e1	7.4825973e-1	
2025-12-02	9:0:04	5.46332e3	5.15001e1	9.12222e1	2.7892065e-1	1.2068879e1	7.4257249e-1	
2025-12-02	9:0:05	5.49104e3	5.15001e1	9.12909e1	2.7946841e-1	1.2062165e1	7.3414893e-1	
2025-12-02	9:0:05	5.51595e3	5.14968e1	9.13720e1	2.7995932e-1	1.2068879e1	7.3230652e-1	
2025-12-02	9:0:06	5.54279e3	5.14935e1	9.13444e1	2.8048563e-1	1.2047059e1	7.4904603e-1	
2025-12-02	9:0:06	5.52283e3	5.14935e1	9.11960e1	2.8009519e-1	1.2068879e1	7.5177235e-1	
2025-12-02	9:0:07	5.46685e3	5.14968e1	9.11810e1	2.7899172e-1	1.2059648e1	7.4425148e-1	
2025-12-02	9:0:07	5.46895e3	5.14968e1	9.12534e1	2.7903320e-1	1.2048738e1	7.3715286e-1	
2025-12-02	9:0:08	5.48386e3	5.15001e1	9.13164e1	2.7932677e-1	1.2055451e1	7.2994718e-1	
2025-12-02	9:0:08	5.50143e3	5.15001e1	9.13607e1	2.7967290e-1	1.2084825e1	7.3374438e-1	
2025-12-02	9:0:09	5.53607e3	5.15001e1	9.13307e1	2.8035206e-1	1.2038667e1	7.4773778e-1	
2025-12-02	9:0:09	5.52025e3	5.14968e1	9.11837e1	2.8004362e-1	1.2051255e1	7.5932970e-1	
2025-12-02	9:0:10	5.45804e3	5.14935e1	9.10964e1	2.7881822e-1	1.2091538e1	7.5880217e-1	
2025-12-02	9:0:10	5.41643e3	5.14935e1	9.10904e1	2.7798981e-1	1.2090699e1	7.5022368e-1	
2025-12-02	9:0:11	5.43751e3	5.14902e1	9.11762e1	2.7841148e-1	1.2079789e1	7.4497013e-1	
2025-12-02	9:0:11	5.48096e3	5.14968e1	9.12167e1	2.7927069e-1	1.2080628e1	7.4430198e-1	
2025-12-02	9:0:12	5.48611e3	5.14968e1	9.12392e1	2.7937223e-1	1.2074754e1	7.3682651e-1	
2025-12-02	9:0:12	5.47862e3	5.14935e1	9.13147e1	2.7922561e-1	1.2037827e1	7.3181352e-1	
2025-12-02	9:0:13	5.48793e3	5.15001e1	9.13414e1	2.7940707e-1	1.2055451e1	7.3321266e-1	
2025-12-02	9:0:13	5.51401e3	5.14968e1	9.13054e1	2.7992115e-1	1.2055451e1	7.5098142e-1	
2025-12-02	9:0:14	5.48885e3	5.14902e1	9.11372e1	2.7942850e-1	1.2048738e1	7.5132169e-1	
2025-12-02	9:0:14	5.41399e3	5.14902e1	9.11837e1	2.7794220e-1	1.2083985e1	7.4362640e-1	
2025-12-02	9:0:15	5.42668e3	5.14935e1	9.12174e1	2.7819445e-1	1.2061326e1	7.4616117e-1	
2025-12-02	9:0:15	5.45457e3	5.14968e1	9.11934e1	2.7874827e-1	1.2060487e1	7.4611244e-1	
2025-12-02	9:0:16	5.44383e3	5.14902e1	9.12007e1	2.7853715e-1	1.2076432e1	7.4627866e-1	
2025-12-02	9:0:16	5.44989e3	5.14902e1	9.11912e1	2.7865757e-1	1.2069718e1	7.4552159e-1	
2025-12-02	9:0:17	5.45111e3	5.14935e1	9.11947e1	2.7868068e-1	1.2061326e1	7.4019632e-1	
2025-12-02	9:0:17	5.45334e3	5.14968e1	9.12624e1	2.7872390e-1	1.2067201e1	7.3902063e-1	
2025-12-02	9:0:18	5.47854e3	5.14935e1	9.12415e1	2.7922391e-1	1.2057130e1	7.5279836e-1	
2025-12-02	9:0:18	5.46310e3	5.14968e1	9.11127e1	2.7891740e-1	1.2059648e1	7.5551099e-1	
2025-12-02	9:0:19	5.40944e3	5.14968e1	9.11094e1	2.7784895e-1	1.2071397e1	7.4661545e-1	
2025-12-02	9:0:19	5.40051e3	5.14935e1	9.11957e1	2.7767109e-1	1.2063004e1	7.3780722e-1	
2025-12-02	9:0:20	5.44055e3	5.14935e1	9.12764e1	2.7847080e-1	1.2073075e1	7.3014459e-1	
2025-12-02	9:0:20	5.46428e3	5.14968e1	9.13310e1	2.7894067e-1	1.2077271e1	7.3262028e-1	
2025-12-02	9:0:21	5.46641e3	5.14935e1	9.13282e1	2.7898411e-1	1.2094895e1	7.4431319e-1	
2025-12-02	9:0:21	5.46165e3	5.14902e1	9.11910e1	2.7889094e-1	1.2046220e1	7.5687799e-1	
2025-12-02	9:0:22	5.42092e3	5.14935e1	9.10577e1	2.7807953e-1	1.2071397e1	7.6613621e-1	
2025-12-02	9:0:22	5.37597e3	5.14968e1	9.09869e1	2.7717683e-1	1.2087342e1	7.6132941e-1	
2025-12-02	9:0:23	5.36471e3	5.14968e1	9.10367e1	2.7694978e-1	1.2069718e1	7.5453014e-1	
2025-12-02	9:0:23	5.41421e3	5.14968e1	9.10695e1	2.7794442e-1	1.2089021e1	7.5405492e-1	
2025-12-02	9:0:24	5.44928e3	5.15001e1	9.10554e1	2.7864205e-1	1.2064683e1	7.6801772e-1	
2025-12-02	9:0:24	5.42698e3	5.15001e1	9.09462e1	2.7819826e-1	1.2100770e1	7.6630697e-1	
2025-12-02	9:0:25	5.37891e3	5.14902e1	9.09634e1	2.7723836e-1	1.2075593e1	7.5758218e-1	
2025-12-02	9:0:25	5.37314e3	5.14902e1	9.10492e1	2.7712204e-1	1.2071397e1	7.4940562e-1	
2025-12-02	9:0:26	5.41560e3	5.14902e1	9.11310e1	2.7797436e-1	1.2081468e1	7.5058073e-1	
2025-12-02	9:0:26	5.44158e3	5.14935e1	9.10715e1	2.7849130e-1	1.2076432e1	7.6862878e-1	
