"pause","Site","plot","Rep","depth.in","soilmass","cup_label","sample.id","mL_water","start","end","ppm.approx","readtime","readdate","temp1_C","temp2_C","NOTES","time","ppm","line","ppm.corr","days","ugC.L","ugC.g.day"
25,"RTNC22","412","2","12",9.9634,"26b","RTNC22-2.412","1.886792453",2024-01-08 10:55:00,2024-01-08 10:57:00,1862.5,"10:56",20231229,26,28,"","10:56:44",1797.075,4556,1275.38772916667,1.00002314814815,625.558225286731,58.514841363404
26,"RTNC22","412","2","12",9.9631,"26c","RTNC22-2.412","1.886792453",2024-01-08 10:57:00,2024-01-08 10:59:00,1645.5,"10:58",20231229,26,28,"","10:59:17",1603.97666666667,4805,1082.28939583333,1.00002314814815,530.846438476024,49.6569770858836
27,"blank","blank","blank","blank",NA,"blank","blank","blank",2024-01-08 10:59:00,2024-01-08 11:01:00,496.5,"11:00",20231229,26,28,"","11:00:49",491.015833333333,4929,-30.6714375,1.00002314814815,-15.0438722050662,NA
28,"blank","blank","blank","blank",NA,"blank","blank","blank",2024-01-08 11:01:00,2024-01-08 11:03:00,617.5,"11:02",20231229,26,28,"","11:02:40",616.020166666667,5095,94.3328958333334,1.00002314814815,46.2688463705194,NA
29,"RTNC22","101","3","12",10.0415,"27a","RTNC22-3.101","1.981132075",2024-01-08 11:03:00,2024-01-08 11:05:00,1867,"11:04",20231229,26,28,"","11:04:51",1792.01,5302,1270.32272916667,1.00002314814815,623.07392005263,57.8291541659415
30,"RTNC22","101","3","12",9.9897,"27b","RTNC22-3.101","1.981132075",2024-01-08 11:05:00,2024-01-08 11:07:00,2160.5,"11:06",20231229,26,28,"","11:06:57",2088.13666666667,5505,1566.44939583333,1.00002314814815,768.319532679869,71.6795528453123
31,"RTNC22","101","3","12",9.9914,"27c","RTNC22-3.101","1.981132075",2024-01-08 11:07:00,2024-01-08 11:09:00,2280,"11:08",20231229,26,28,"","11:08:54",2252.55,5694,1730.86272916667,1.00002314814815,848.961764576421,79.1895079213314
32,"RTNC22","211","3","12",9.9876,"28a","RTNC22-3.211","1.981132075",2024-01-08 11:09:00,2024-01-08 11:11:00,1476,"11:10",20231229,26,28,"","11:11:01",1457.965,5905,936.277729166667,1.00002314814815,459.229943364503,42.8523769458364
33,"RTNC22","211","3","12",10.0303,"28b","RTNC22-3.211","1.981132075",2024-01-08 11:11:00,2024-01-08 11:13:00,1986.5,"11:12",20231229,26,28,"","11:12:50",1935.34833333333,6079,1413.6610625,1.00002314814815,693.379185945493,64.4262327780372
34,"RTNC22","211","3","12",9.9689,"28c","RTNC22-3.211","1.981132075",2024-01-08 11:13:00,2024-01-08 11:15:00,1965,"11:14",20231229,26,28,"","11:14:46",1932.56833333333,6257,1410.8810625,1.00002314814815,692.015638354022,64.6955677853014
35,"RTNC22","304","3","12",9.9775,"29a","RTNC22-3.304","1.981132075",2024-01-08 11:15:00,2024-01-08 11:17:00,1997.5,"11:16",20231229,26,28,"","11:16:45",1973.71166666667,6431,1452.02439583333,1.00002314814815,712.195815717966,66.5247943512426
36,"RTNC22","304","3","12",9.9899,"29b","RTNC22-3.304","1.981132075",2024-01-08 11:17:00,2024-01-08 11:19:00,2215,"11:18",20231229,26,28,"","11:18:48",2165.92166666667,6626,1644.23439583333,1.00002314814815,806.471888580079,75.2374299717829
37,"RTNC22","304","3","12",9.9628,"29c","RTNC22-3.304","1.981132075",2024-01-08 11:19:00,2024-01-08 11:21:00,1737,"11:20",20231229,26,28,"","11:20:53",1712.02666666667,6828,1190.33939583333,1.00002314814815,583.8433151877,54.6161093435151
38,"RTNC22","412","3","12",9.984,"30a","RTNC22-3.412","1.981132075",2024-01-08 11:21:00,2024-01-08 11:23:00,2682.5,"11:22",20231229,26,28,"","11:22:47",2641.125,7009,2119.43772916667,1.00002314814815,1039.55187441668,97.0392548183436
39,"RTNC22","412","3","12",9.9852,"30b","RTNC22-3.412","1.981132075",2024-01-08 11:23:00,2024-01-08 11:25:00,2606,"11:24",20231229,26,28,"","11:25:12",2543.05833333333,7231,2021.3710625,1.00002314814815,991.451670410584,92.5381131740983
40,"RTNC22","412","3","12",10.0429,"30c","RTNC22-3.412","1.981132075",2024-01-08 11:25:00,2024-01-08 11:27:00,2193,"11:26",20231229,26,28,"","11:26:57",2177.19,7389,1655.50272916667,1.00002314814815,811.998834183159,75.3532740285386
41,"blank","blank","blank","blank",NA,"blank","blank","blank",2024-01-08 11:27:00,2024-01-08 11:29:00,498,"11:28",20231229,26,28,"","11:28:47",494.419333333333,7555,-27.2679375,1.00002314814815,-13.3745073750042,NA
42,"blank","blank","blank","blank",NA,"blank","blank","blank",2024-01-08 11:29:00,2024-01-08 11:31:00,487.5,"11:30",20231229,26,28,"","11:30:45",482.283,7731,-39.4042708333333,1.00002314814815,-19.3271937368597,NA
43,"RTNC22","101","4","12",9.9696,"31a","RTNC22-4.101","2.132075472",2024-01-08 11:31:00,2024-01-08 11:33:00,2780,"11:32",20231229,26,28,"","11:33:00",2742.54,7953,2220.85272916667,1.00002314814815,1089.29438484439,101.829448192627
44,"RTNC22","101","4","12",10.0423,"31b","RTNC22-4.101","2.132075472",2024-01-08 11:33:00,2024-01-08 11:35:00,2008.5,"11:34",20231229,26,28,"","11:34:44",1984.69166666667,8115,1463.00439583333,1.00002314814815,717.581338219532,66.5953343781813
45,"RTNC22","101","4","12",10.0144,"31c","RTNC22-4.101","2.132075472",2024-01-08 11:35:00,2024-01-08 11:37:00,2899.5,"11:36",20231229,26,28,"","11:36:45",2821.59166666667,8307,2299.90439583333,1.00002314814815,1128.06802142177,104.982331393332
46,"RTNC22","211","4","12",10.0208,"32a","RTNC22-4.211","2.132075472",2024-01-08 11:37:00,2024-01-08 11:39:00,2889,"11:38",20231229,26,28,"","11:38:54",2831.72,8508,2310.03272916667,1.00002314814815,1133.0358144154,105.377308738064
47,"RTNC22","211","4","12",9.9905,"32b","RTNC22-4.211","2.132075472",2024-01-08 11:39:00,2024-01-08 11:41:00,2308,"11:40",20231229,26,28,"","11:40:46",2220.72666666667,8673,1699.03939583333,1.00002314814815,833.352905037122,77.7405464284531
48,"RTNC22","211","4","12",9.9937,"32c","RTNC22-4.211","2.132075472",2024-01-08 11:41:00,2024-01-08 11:43:00,2834,"11:42",20231229,26,28,"","11:42:45",2769.03166666667,8856,2247.34439583333,1.00002314814815,1102.28814321756,102.795638170365
49,"RTNC22","304","4","12",9.984,"33a","RTNC22-4.304","2.132075472",2024-01-08 11:43:00,2024-01-08 11:45:00,2538,"11:44",20231229,26,28,"","11:44:53",2492.58166666667,9056,1970.89439583333,1.00002314814815,966.693635425395,90.2381423456657
50,"RTNC22","304","4","12",9.9815,"33b","RTNC22-4.304","2.132075472",2024-01-08 11:45:00,2024-01-08 11:47:00,2582,"11:46",20231229,26,28,"","11:46:46",2517.29,9231,1995.60272916667,1.00002314814815,978.812696003069,91.3923073872724
51,"RTNC22","304","4","12",10.0011,"33c","RTNC22-4.304","2.132075472",2024-01-08 11:47:00,2024-01-08 11:49:00,2395.5,"11:48",20231229,26,28,"","11:48:45",2356.32333333333,9422,1834.6360625,1.00002314814815,899.861001528077,83.8558798737783
